OBJECTID;X;Y;Name;addrln1;city;post_id;zip;latitude;longitude;POINT_X;POINT_Y
157250957;-118.22313505660415;33.979328477357917;Hub Cities Career Center Worksource California;2677 Zoe Ave;Huntington Park;70922;90255;33.97932851;-118.223135;6494021.17915988;1814932.65748481
157250975;-118.161890456005224;34.050468926654013;Managed Career Solutions Inc - West San Gabriel Valley Worksource Center;1000 Corporate Center Dr;Monterey Park;70931;91754;34.05046896;-118.1618904;6512630.74167822;1840786.5096484
157251124;-118.155549756646565;34.020557877125896;East Los Angeles Employment And Business Center;5301 Whittier Blvd;Los Angeles;;;;;;
157251254;-118.312876856466772;34.032855516713134;La84 Foundation;2141 W Adams Blvd;Los Angeles;;;;;;
157251279;-118.209020755806932;33.782005247821019;Help Me Help You;1301 W 12Th St;Long Beach;71130;90813;33.78200528;-118.2090207;6498150.96486355;1743112.90643956
157251350;-118.144843156366804;34.148668136572226;City Of Pasadena Planning Department;175 N Garfield Ave;Pasadena;71172;91101;34.14866817;-118.1448431;6517846.17317647;1876515.13110439
157251375;-118.149964256518487;33.966577527506047;Southeast Community Development Corporation;6423 Florence Pl;Bell Gardens;;;;;;
157251484;-118.208173356416083;34.113066186980816;Women Organizing Resources Knowledge And Services;795 N Ave 50;Los Angeles;71250;90042;34.11306622;-118.2081733;6498657.99304897;1863592.60019098
157252809;-118.333688055934573;34.002900967105916;LA Urban  League Buisness Development Center;3450 Mount Vernon Dr. ;Los Angeles;68543;90008;34.002901;-118.333688;6460532.75630747;1823603.96133639
157258986;-118.217754056131213;34.073741966502411;City Of Los Angeles Housing Department - East Regional Office;2215 N. Broadway Ave.;Los Angeles;2926;90031;34.073742;-118.217754;6495726.99759863;1849287.95360348
157259026;-118.266024856467851;34.051400936949072;City Of Los Angeles Housing Department;1200 W 7Th St;Los Angeles;2775;90017;34.05140097;-118.2660248;6481087.4684788;1841192.8277334
157259135;-118.302258556521537;34.061567997062042;City Of Los Angeles Housing Department - Central Regional Office;3550 Wilshire Blvd;Los Angeles;3055;90010;34.06156803;-118.3022585;6470122.89985681;1844923.82683305
157259138;-118.448444056207151;34.191883966603676;City Of Los Angeles Housing Department - North Regional Office;6640 Van Nuys Blvd.;Van Nuys;3219;91405;34.191884;-118.448444;6426058.35937713;1892513.08565697
157260145;-118.446221408246103;33.970666822195419;Los Angeles County Department Of Beaches And Harbors;13837 Fiji Way;Marina Del Rey;;90292;33.97066686;-118.44622135;6426373.1172778;1812005.71911298
157260240;-118.384113056202608;34.081843967177754;West Hollywood AJCC;625 N San Vicente Blvd;West Hollywood;57015;90069;34.081844;-118.384113;6445359.28304556;1852387.22988522
157260331;-118.286806855579925;33.738633727130058;City of Los Angeles Economic and Workforce Development Department - Businesssource Center - Harbor Region;455 W 6Th St;San Pedro;71746;90731;33.73863376;-118.2868068;6474467.54044572;1727387.10587023
157260332;-118.540377855852853;34.201308116011248;City of Los Angeles Economic and Workforce Development Department - Businesssource Center - West Valley Region;18645 Sherman Way;Reseda;71745;91335;34.20130815;-118.5403778;6398275.74794772;1896079.39873432
157260333;-118.448686655920071;34.220640366559508;City of Los Angeles Economic and Workforce Development Department - Businesssource Center - South Valley Region;8248 Van Nuys Blvd;Panorama City;71744;91402;34.2206404;-118.4486866;6426031.70916797;1902978.28224623
157260334;-118.29485825596808;33.988912257177596;City of Los Angeles Economic and Workforce Development Department - Businesssource Center - South Los Angeles Region, Slauson Ave.;1130 W Slauson Ave;Los Angeles;71743;90044;33.98891229;-118.2948582;6472286.72033231;1818476.40761514
157260335;-118.151422256567301;34.031089126704309;City of Los Angeles Economic and Workforce Development Department - Businesssource Center - East Los Angeles Region, Beverly Blvd.;5271 E Beverly Blvd;Los Angeles;71742;90022;34.03108916;-118.1514222;6515791.12577739;1833728.88564031
157260456;-118.266025055852523;34.051400967161847;City Of Los Angeles Economic and Workforce Development Department - Administration;1200 W. 7th St.;Los Angeles;2772;90017;34.051401;-118.266025;6481087.40811147;1841192.83888823
157260465;-118.262897056349431;34.052320826874414;City Of Los Angeles Economic and Workforce Development Department - Businesssource Center - Central/West Region;1055 Wilshire Blvd;Los Angeles;2730;90017;34.05232086;-118.262897;6482035.79893123;1841525.09970665
157260466;-118.309115055616303;33.98406096707194;City Of Los Angeles Economic and Workforce Development Department - Businesssource Center - South Los Angeles Region, Western Ave.;6109 S. Western Ave.;Los Angeles;3191;90047;33.984061;-118.309115;6467959.48390806;1816723.91440098
157260494;-118.218104255902887;34.046611017054673;City Of Los Angeles Economic and Workforce Development Department - Businesssource Center - East Los Angeles Region, First St.;1852 E 1St St;Los Angeles;2144;90033;34.04661105;-118.2181042;6495599.5221318;1839414.73023973
157260504;-118.266024856467851;34.051400936949072;City Of Los Angeles Economic and Workforce Development Department - Economic Development Division;1200 W 7Th St;Los Angeles;2773;90017;34.05140097;-118.2660248;6481087.4684788;1841192.8277334
157260511;-118.266024856467851;34.051400936949072;City Of Los Angeles Economic and Workforce Development Department - Workforce Development Division;1200 W 7Th St;Los Angeles;59839;90017;34.05140097;-118.2660248;6481087.4684788;1841192.8277334
157260512;-118.419825256415407;34.267529426460428;City Of Los Angeles Economic and Workforce Development Department - Businesssource Center - North Valley Region;13172 Van Nuys Blvd;Pacoima;70335;91331;34.26752946;-118.4198252;6434827.76867555;1920004.21965098
157260668;-118.294262056642481;34.083730967033205;Managed Career Solutions Inc - Hollywood Worksource Center;4311 Melrose Ave.;Los Angeles;58984;90029;34.083731;-118.294262;6472568.46747223;1852982.13420723
157260811;-118.155657455759723;34.703569071548131;Antelope Valley AJCC - Lancaster Site;1420 W Ave I;Lancaster;;;;;;
157260813;-118.116519757080084;34.581781866218698;Antelope Valley AJCC - South Valley (Palmdale) Site;38510 Sierra Highway;Palmdale;83273;93550;34.5817819;-118.1165197;6526598.48441197;2034122.73911689
