OBJECTID;DFIRM_ID;FLD_AR_ID;DUAL_ZONE;SOURCE_CIT;ShapeSTArea;ShapeSTLength
1987;06037C;06037C_1586;F;06037C_STUDY10;2.81386292044772e-07;0.0027022911509508
1988;06037C;06037C_1587;F;06037C_STUDY10;2.02357341549941e-07;0.0017413610715976
1989;06037C;06037C_1588;F;06037C_STUDY10;2.57677584158955e-07;0.00375630585365718
1990;06037C;06037C_1589;F;06037C_STUDY10;1.87138766705175e-07;0.00287622138979352
2004;06037C;06037C_2379;F;06037C_STUDY10;9.61491650741664e-07;0.00568882905740344
2005;06037C;06037C_2380;F;06037C_STUDY10;1.7377783478878e-07;0.00231742096922449
2006;06037C;06037C_2381;F;06037C_STUDY10;4.63703827335848e-07;0.0033269295459388
2007;06037C;06037C_2382;F;06037C_STUDY10;9.76871660895995e-07;0.00593382998485304
2008;06037C;06037C_2438;F;06037C_STUDY10;9.07524736248888e-07;0.0147670248580421
2009;06037C;06037C_2439;F;06037C_STUDY10;3.24605707646697e-07;0.00581428139771083
2010;06037C;06037C_2440;F;06037C_STUDY10;3.11113808493246e-07;0.00299845797549844
2011;06037C;06037C_2441;F;06037C_STUDY10;1.64332732310868e-07;0.00250640331895323
2012;06037C;06037C_2495;F;06037C_STUDY10;1.32165587274358e-06;0.0110655875751895
2013;06037C;06037C_2496;F;06037C_STUDY10;1.91457502296544e-07;0.00220508775253235
2014;06037C;06037C_2497;F;06037C_STUDY10;5.04825038660783e-07;0.00332367377024774
2015;06037C;06037C_2572;F;06037C_STUDY10;4.51782170785009e-07;0.00257493100815203
2016;06037C;06037C_2573;F;06037C_STUDY10;1.94595713765011e-07;0.00188585615221357
2017;06037C;06037C_2574;F;06037C_STUDY10;5.86207534070127e-07;0.00435352708387734
2018;06037C;06037C_2575;F;06037C_STUDY10;3.61787670044578e-07;0.00598278765294222
2019;06037C;06037C_2640;F;06037C_STUDY10;4.03447756980313e-07;0.00266829044294465
2020;06037C;06037C_2641;F;06037C_STUDY10;2.50661514655803e-07;0.00350260588108321
2021;06037C;06037C_2642;F;06037C_STUDY10;2.10261077882024e-07;0.00186732395169905
2022;06037C;06037C_2643;F;06037C_STUDY10;3.44996806234121e-07;0.00237296394591441
2023;06037C;06037C_2644;F;06037C_STUDY10;1.51869699038798e-07;0.00235208864046729
2024;06037C;06037C_2645;F;06037C_STUDY10;4.06593926527421e-07;0.00285348291843346
