OBJECTID;X;Y;cat1;cat2;cat3;org_name;Name;addrln1;addrln2;city;post_id;zip;latitude;longitude;POINT_X;POINT_Y
157255014;-117.976440057357934;34.051449966721187;Education;Public High Schools;;Bassett Unified;Bassett Senior High School;755 Ardilla Avenue;;La Puente;77142;91746;34.05145;-117.97644;6568807.00629397;1841104.87744997
157255015;-117.972100056896991;34.052469967475979;Education;Public High Schools;;Bassett Unified;Nueva Vista Continuation High School;904 Willow Avenue;;La Puente;77143;91746;34.05247;-117.9721;6570121.55451788;1841476.41213998
157255023;-118.114750055957799;33.892819966885291;Education;Public High Schools;;Bellflower Unified;Bellflower High School;15301 South McNab Avenue;;Bellflower;77151;90706;33.89282;-118.11475;6526844.9379873;1783395.07882781
157255024;-118.114840056275625;33.863919966962392;Education;Public High Schools;;Bellflower Unified;Mayfair High School;6000 North Woodruff Avenue;;Lakewood;77152;90713;33.86392;-118.11484;6526805.60834156;1772877.70878647
157255025;-118.13762005642981;33.882889967661882;Education;Public High Schools;;Bellflower Unified;Somerset Continuation High School;9242 East Laurel Street;;Bellflower;77153;90706;33.88289;-118.13762;6519899.19466098;1779790.03190406
157255026;-118.134020056746465;33.882919967518013;Education;Public High Schools;;Bellflower Unified;Bellflower Alternative Education Center;16703 South Clark Avenue;;Bellflower;77154;90706;33.88292;-118.13402;6520991.89916848;1779799.47315815
157255037;-118.411480055476346;34.062559967078222;Education;Public High Schools;;Beverly Hills Unified;Beverly Hills High School;241 Moreno Drive;;Beverly Hills;77165;90212;34.06256;-118.41148;6437043.75636956;1845402.26714915
157255038;-118.411480055476346;34.062559967078222;Education;Public High Schools;;Beverly Hills Unified;Moreno High School (Continuation);241 Moreno Drive;;Beverly Hills;77166;90212;34.06256;-118.41148;6437043.75636956;1845402.26714915
157255044;-117.765110057771111;34.10890996737055;Education;Public High Schools;;Bonita Unified;Bonita High School;3102 D Street;;La Verne;77172;91750;34.10891;-117.76511;6632773.10637988;1862097.90862656
157255045;-117.806490057772237;34.117779967113108;Education;Public High Schools;;Bonita Unified;Chaparral High School (Continuation);121 West Allen Avenue;;San Dimas;77173;91773;34.11778;-117.80649;6620240.90539446;1865299.16698781
157255046;-117.82256005713576;34.097509967217242;Education;Public High Schools;;Bonita Unified;San Dimas High School;800 West Covina Boulevard;;San Dimas;77174;91773;34.09751;-117.82256;6615389.95085755;1857913.57217897
157255048;-117.807740056951843;34.117609967130612;Education;Public High Schools;;Bonita Unified;Vista (Alternative);127 West Allen Avenue;;San Dimas;77176;91773;34.11761;-117.80774;6619862.6810853;1865236.5749214
157255060;-118.351690056249382;34.177539966395699;Education;Public High Schools;;Burbank Unified;Burbank Unified Independent Learning Academy (BUILA);3715 Allan Avenue;;Burbank;77188;91505;34.17754;-118.35169;6455298.90916364;1887176.62421706
157255062;-118.315380055930731;34.188839966690509;Education;Public High Schools;;Burbank Unified;Burbank High School;902 North Third Street;;Burbank;77190;91502;34.18884;-118.31538;6466294.0197193;1891252.43791582
157255063;-118.327130055801575;34.170449966724355;Education;Public High Schools;;Burbank Unified;Burroughs High School;1920 Clark Avenue;;Burbank;77191;91506;34.17045;-118.32713;6462718.85101664;1884571.37581864
157255064;-118.331840056603554;34.186359966696905;Education;Public High Schools;;Burbank Unified;Monterey High School (Continuation);1915 Monterey Avenue;;Burbank;77192;91506;34.18636;-118.33184;6461313.27213489;1890365.9514998
157255065;-118.343610056002206;34.165599966790033;Education;Public High Schools;;Burbank Unified;Magnolia Park;827 Avon Street;;Burbank;77193;91505;34.1656;-118.34361;6457727.90594605;1882823.01481406
157255067;-118.304700056542785;34.178359966473231;Education;Public High Schools;;Burbank Unified;Burbank USD Community Day;223 East Santa Anita Avenue;;Burbank;77195;91502;34.17836;-118.3047;6469512.26328281;1887428.63158706
157255087;-118.352940056194257;33.874139967491999;Education;Public High Schools;;Centinela Valley Union High;Centinela Valley Independent Study;4409 Redondo Beach Boulevard;;Lawndale;77215;90260;33.87414;-118.35294;6454533.1554458;1776765.19018473
157255090;-118.352940056194257;33.874139967491999;Education;Public High Schools;;Centinela Valley Union High;South Bay Academy Community Day;4409 Redondo Beach Boulevard;;Lawndale;77218;90260;33.87414;-118.35294;6454533.1554458;1776765.19018473
157255091;-118.361400055666067;33.896359966853765;Education;Public High Schools;;Centinela Valley Union High;R. K. Lloyde High School;14901 Inglewood Avenue;;Lawndale;77219;90260;33.89636;-118.3614;6451994.15330598;1784860.65201214
157255093;-118.363290055560796;33.916459966621574;Education;Public High Schools;;Centinela Valley Union High;Hawthorne High School;4859 West El Segundo Boulevard;;Hawthorne;77221;90250;33.91646;-118.36329;6451447.02349472;1792177.52747023
157255094;-118.361400055666067;33.896359966853765;Education;Public High Schools;;Centinela Valley Union High;Lawndale High School;14901 South Inglewood Avenue;;Lawndale;77222;90260;33.89636;-118.3614;6451994.15330598;1784860.65201214
157255095;-118.347010056414618;33.90184996717867;Education;Public High Schools;;Centinela Valley Union High;Leuzinger High School;4118 West Rosecrans Avenue;;Lawndale;77223;90260;33.90185;-118.34701;6456368.05039805;1786843.19135414
157255096;-117.846440057627944;34.113519967469685;Education;Public High Schools;;Charter Oak Unified;Arrow High School (Continuation);1505 South Sunflower Ave;;Glendora;77224;91740;34.11352;-117.84644;6608151.43088581;1863727.99952647
157255097;-117.858950056767526;34.099359967166826;Education;Public High Schools;;Charter Oak Unified;Charter Oak High School;1430 East Covina Boulevard;;Covina;77225;91724;34.09936;-117.85895;6604372.01095122;1858569.36679915
157255098;-117.846440057627944;34.113519967469685;Education;Public High Schools;;Charter Oak Unified;Oak Knoll Alternative;1505 South Sunflower Ave;;Glendora;77226;91740;34.11352;-117.84644;6608151.43088581;1863727.99952647
