OBJECTID;X;Y;Name;addrln1;city;post_id;zip;latitude;longitude;POINT_X;POINT_Y
157191555;-118.329715056592534;34.091334967190761;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Hollywood Pool;1122 Cole Ave.;Los Angeles;1975;90038;34.091335;-118.329715;6461842.49351738;1855782.67814681
157191556;-118.401799056146203;34.229804966781082;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Fernangeles Pool;8851 Laurel Canyon Blvd.;Sun Valley;1976;91352;34.229805;-118.401799;6440219.15093739;1906253.45515782
157191557;-118.370474056187078;34.217953966501021;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Sun Valley Pool;8123 Vineland Ave.;Sun Valley;1978;91352;34.217954;-118.370474;6449671.77113973;1901904.3181868
157191558;-118.614374055719779;34.177019966352006;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Woodland Hills Pool;5858 Shoup Ave.;Woodland Hills;1979;91367;34.17702;-118.614374;6375847.68059923;1887369.18518364
157191559;-118.44451505592194;33.995054966588278;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Venice High School Indoor Pool;2490 Walgrove Ave.;Los Angeles;1981;90066;33.995055;-118.444515;6426929.73985222;1820878.69611764
157191560;-118.500959055594123;34.184396966197262;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Lake Balboa;6300 Balboa Blvd.;Van Nuys;1982;91406;34.184397;-118.500959;6410164.07620513;1889863.46267539
157191561;-118.233023055969284;34.116880966987722;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Glassell Pool;3704 Verdugo Rd.;Los Angeles;1983;90065;34.116881;-118.233023;6491139.42573705;1864997.37297198
157191562;-118.453336055700873;34.038541487015848;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Stoner Pool;1831 Stoner Ave;Los Angeles;1984;90025;34.03854152;-118.453336;6424327.32543764;1836716.09751365
157191563;-118.309090055883274;33.747840967468321;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Peck Pool;560 N. Western Ave.;San Pedro;1985;90732;33.747841;-118.30909;6467702.72064206;1730757.96428598
157191564;-118.334243055777208;34.048347966779453;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Eleanor G. Roberts Indoor Pool;4526 W. Pico Blvd.;Los Angeles;1986;90019;34.048348;-118.334243;6460419.5373738;1840143.49912339
157191565;-118.281763656068961;33.786562577043199;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Harbor Park Pool;1221 Figueroa Pl;Wilmington;1987;90744;33.78656261;-118.2817636;6476049.80040455;1744825.40596731
157191566;-118.448942056061725;34.05332696665095;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Westwood Indoor Pool;1350 Sepulveda Blvd.;Los Angeles;1988;90025;34.053327;-118.448942;6425682.55763531;1842090.79444139
157191847;-118.207006056624607;33.903326967237;City Of Compton Parks And Recreation Department - Lueders Park And William Love Swimming Pool;1500 E. Rosecrans Ave.;Compton;2527;90221;33.903327;-118.207006;6498854.13668555;1787263.62522456
157191892;-118.271279055890091;34.116764966977037;Griffith Park Pool And Aquatics Administration;3401 Riverside Dr.;Los Angeles;2597;90027;34.116765;-118.271279;6479560.09390889;1864984.20501931
157192295;-118.271279055890091;34.116764966977037;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics;3401 Riverside Dr.;Los Angeles;3035;90027;34.116765;-118.271279;6479560.09390889;1864984.20501931
157192435;-118.379231055904157;34.1672209662892;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - North Hollywood Pool;5301 Tujunga Ave.;North Hollywood;3160;91601;34.167221;-118.379231;6446954.7867443;1883451.66545965
157192482;-118.304553856189912;33.983632597421256;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Jackie Tatum Harvard Pool And Waterslide;6120 Denker Ave;Los Angeles;3201;90047;33.98363263;-118.3045538;6469341.77379438;1816563.80153222
157192702;-118.204312456640253;33.877890996935136;California Pools Of Hope;6801 Long Beach Blvd.;Long Beach;4124;90805;33.87789103;-118.2043124;6499652.69644013;1778005.21920073
157192830;-118.18898445650008;34.018633227071803;Belmont Plaza Pool;4000 Olympic Plaza;Long Beach;;;;;;
157210192;-118.397018355990298;33.802793367097962;Roessler Memorial Swimming Pool;;;23915;;33.8027934;-118.3970183;6441050.41994414;1750850.44378598
