OBJECTID;COMID;PERMANENT_;AREASQKM;REACHCODE;FTYPE;FCODE;OBJECTID_1;DESCRIPTIO;HYDROGRAPH;Shapearea;Shapelen;InLA
1348;27915734;27915734;0.002;1,81E+13;390;39001;3211;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;24964.0593770574;1147.5482178979;Yes
1767;120028201;120028201;0.007;1,81E+13;390;39001;3630;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;78005.2975284332;1148.3331234325;Yes
1809;27927680;27927680;0.004; ;361;36100;3672;Playa; ;44603.9499397446;1150.21360582366;Yes
2046;120025091;120025091;0.007;1,81E+13;390;39004;3909;Lake/Pond: Hydrographic Category = Perennial;Perennial;78807.8150245114;1154.12199802563;Yes
2047;0; ;0; ;0;0;3910;Dam;Intermittent;78807.8150245114;1154.12199802563;Yes
1451;27922748;27922748;0.002;1,81E+13;390;39004;3314;Lake/Pond: Hydrographic Category = Perennial;Perennial;21506.2368571243;1157.4650349691;Yes
1790;27693236;27693236;0.008;1,81E+13;390;39004;3653;Lake/Pond: Hydrographic Category = Perennial;Perennial;89780.4600102348;1165.58054664011;Yes
1738;120025168;120025168;0.006;1,81E+13;390;39004;3601;Lake/Pond: Hydrographic Category = Perennial;Perennial;67958.9964454853;1174.6691274855;Yes
1123;27693228;27693228;0.008;1,81E+13;390;39004;2986;Lake/Pond: Hydrographic Category = Perennial;Perennial;82324.5392145229;1174.75311657624;Yes
1932;27560047;27560047;0.005;1,81E+13;390;39004;3795;Lake/Pond: Hydrographic Category = Perennial;Perennial;51584.5564791964;1176.33015501426;Yes
1520;27693186;27693186;0.005;1,81E+13;390;39004;3383;Lake/Pond: Hydrographic Category = Perennial;Perennial;58624.9808529288;1176.47706755493;Yes
1281;27687742;27687742;0.008;1,81E+13;390;39001;3144;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;87180.6896455533;1176.60571661615;Yes
1751;132735506;132735506;0.005;1,81E+13;390;39001;3614;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;58574.6219034698;1181.59786569966;Yes
