OBJECTID;X;Y;Name;post_id;latitude;longitude;POINT_X;POINT_Y
157210229;-118.379522756158863;34.092786666846777;Sunset Plaza Shopping Center;23971;34.0927867;-118.3795227;6446764.27433005;1856364.1769838
157210238;-118.456468156302194;34.018899266793362;Ocean Park Plaza Shopping Center;23981;34.0188993;-118.4564681;6423345.96749222;1829572.27092206
157210241;-118.377300255840936;34.075009466516192;Beverly Center Shopping Center;23984;34.0750095;-118.3773002;6447412.88228481;1849892.22929782
157210242;-118.461746555886521;34.049453766998404;Brentwood Place Shopping Center;23986;34.0494538;-118.4617465;6421797.53423738;1840698.8464379
157210243;-118.418967856069443;34.058898466864157;Century City Center Shopping Center;23987;34.0588985;-118.4189678;6434770.35573263;1844079.15627831
157210245;-118.493969055685255;34.013621066924429;Santa Monica Place Shopping Center;23989;34.0136211;-118.493969;6411972.6500158;1827705.17623106
157210247;-118.485080255704446;34.030565266849074;Wilshire West Shopping Center;23991;34.0305653;-118.4850802;6414696.14391264;1833858.31943657
157210248;-118.393410556108847;34.002234166864199;Raintree Plaza Shopping Center;23992;34.0022342;-118.3934105;6442430.58549088;1823426.7687774
157210249;-118.378688655650649;34.043899566895284;Ward Plaza Shopping Center;23993;34.0438996;-118.3786886;6446949.78445771;1838572.39695065
157210251;-118.453694755764232;34.281946066363631;La Rinda Shopping Center;23995;34.2819461;-118.4536947;6424618.46199447;1925295.10867548
157210252;-118.500363156239501;34.273057666124046;Balboa-Mission Square Shopping Center;23998;34.2730577;-118.5003631;6410504.9049198;1922127.40011589
157210253;-118.537030855522303;34.257780566439116;Devonshire-Reseda Shopping Center;23999;34.2577806;-118.5370308;6399397.57214764;1916625.02824664
157210254;-118.525086056356841;34.266391365900944;Granada Village Shopping Center;24000;34.2663914;-118.525086;6403023.22729789;1919739.54334307
157210255;-118.500363156211563;34.256669466473852;North Hills Shopping Center;24001;34.2566695;-118.5003631;6410475.21731514;1916163.50948465
157210256;-118.605088256180139;34.249447765986922;Topango Festival Shopping Center;24002;34.2494478;-118.6050882;6378814.88102964;1913709.45730615
157210258;-118.325912056630756;34.260558066925647;Sunland Shopping Center;24004;34.2605581;-118.325912;6463193.59613013;1917361.97526357
157210259;-118.42952705611124;34.310278266274878;Sylmar Shopping Center;24005;34.3102783;-118.429527;6431963.04113731;1935573.55137314
157210260;-118.433971755764503;34.308611666330293;Sylmar Square Shopping Center;24006;34.3086117;-118.4339717;6430618.23378755;1934972.81536989
157210261;-118.442027555941678;34.300000965886596;Sylmar Towne Shopping Center;24007;34.300001;-118.4420275;6428171.75442855;1931849.85245572
157210262;-118.325352256564344;33.932236567228998;Crenshaw Imperial Shopping Center;24008;33.9322366;-118.3253522;6462976.00995113;1797879.53017381
157210263;-118.351463855788978;33.92084746724813;Hawthorne Plaza Shopping Center;24010;33.9208475;-118.3514638;6455040.69708164;1793761.47213697
157210264;-118.395630955390033;33.892236167504706;Sepulveda Shopping Center;24012;33.8922362;-118.3956309;6441600.04581338;1783399.03420047
157210276;-118.809811855080099;34.021118666596742;Point Dume Plaza Shopping Center;24025;34.0211187;-118.8098118;6316279.89914447;1831054.36572689
157210277;-118.502029655795354;34.235281266840126;Balboa Nordhoff Shopping Center;24026;34.2352813;-118.5020296;6409932.77975172;1908382.56376047
157210278;-118.385908655871944;33.901402867466096;Manhattan Marketplace Shopping Center;24028;33.9014029;-118.3859086;6444563.46573955;1786723.51639664
157210279;-118.395353256190234;33.898624967027573;Manhattan Village Shopping Center;24029;33.898625;-118.3953532;6441693.46918297;1785723.71918364
157210280;-118.363407456392778;33.857515067534472;North Torrance Shopping Center;24030;33.8575151;-118.3634074;6451333.84983656;1770726.34137006
157210281;-118.367295756088438;33.813349167438652;Pacific Plaza Shopping Center;24031;33.8133492;-118.3672957;6450094.5718033;1754657.62744457
157210282;-118.35535145617925;33.838348867231701;Plaza Del Amo Shopping Center;24032;33.8383489;-118.3553514;6453755.11599138;1763742.57449773
157210283;-118.370906255266007;33.770849867290103;The Shops At Palos Verdes Shopping Center;24034;33.7708499;-118.3709062;6448940.72142072;1739195.08619122
157210284;-118.352296056122114;33.853070967415711;Torrance Promenade Shopping Center;24035;33.853071;-118.352296;6454701.77190647;1769097.02179407
157210285;-118.405906555298998;33.748627567723858;Golden Cove Shopping Center;24036;33.7486276;-118.4059065;6438270.46913922;1731148.91101064
157210286;-118.394241555811305;33.865292267004975;Hermosa Beach Pavilion Shopping Center;24037;33.8652923;-118.3942415;6441983.2553488;1773591.91700372
157210288;-118.842313554593034;34.031118666442893;Trancas Market Shopping Center;24039;34.0311187;-118.8423135;6306461.90500097;1834774.37501915
157210289;-118.55841855613707;34.17222736686162;Capri Plaza Shopping Center;24041;34.1722274;-118.5584185;6392762.02570747;1885526.36636272
157210290;-118.511750455685146;34.161672266332573;Courtyard Shops Of Encino Shopping Center;24042;34.1616723;-118.5117504;6406858.3315043;1881610.07990398
157210291;-118.510639256242953;34.160561166856631;Encino Oaks Shopping Center;24044;34.1605612;-118.5106392;6407192.42860514;1881204.02625415
157210292;-118.508694855417005;34.160283366338973;Encino Town Center Shopping Center;24045;34.1602834;-118.5086948;6407780.12952948;1881099.94837831
157210293;-118.625642955847283;34.189726966063141;Fallbrook Mall Shopping Center;24046;34.189727;-118.6256429;6372468.13191214;1892014.42622122
157210294;-118.626198555380299;34.189726966064676;Fallbrook Mall Shopping Center;24047;34.189727;-118.6261985;6372300.11387546;1892015.47247897
157210295;-118.57203075571401;34.201948866574831;Independence Square Shopping Center;24048;34.2019489;-118.5720307;6388706.25625996;1896365.53530115
157210296;-118.555363255977213;34.187504766069367;Loehmanns Plaza Shopping Center;24049;34.1875048;-118.5553632;6393716.8892833;1891080.88379698
